#options: 1024x576 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=2 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=21.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=1000 vbv_bufsize=2000 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:26.26 aq:21.66 tex:500605 mv:60072 misc:6499 imb:2304 pmb:0 smb:0 d:- ref:;
in:1 out:1 type:P dur:2 cpbdur:2 q:27.29 aq:24.56 tex:5013 mv:1848 misc:1011 imb:20 pmb:264 smb:2020 d:- ref:0 ;
in:5 out:2 type:P dur:2 cpbdur:2 q:26.93 aq:17.93 tex:343419 mv:13190 misc:503 imb:1378 pmb:344 smb:582 d:- ref:0 ;
in:3 out:3 type:B dur:2 cpbdur:2 q:27.28 aq:22.35 tex:9876 mv:2129 misc:1011 imb:16 pmb:346 smb:1942 d:- ref:0 ;
in:2 out:4 type:b dur:2 cpbdur:2 q:27.29 aq:26.99 tex:3265 mv:1490 misc:733 imb:13 pmb:240 smb:2051 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:27.29 aq:21.03 tex:2334 mv:1516 misc:630 imb:3 pmb:181 smb:2120 d:- ref:0 ;
in:9 out:6 type:P dur:2 cpbdur:2 q:27.18 aq:18.91 tex:42306 mv:3814 misc:1504 imb:61 pmb:623 smb:1620 d:- ref:0 ;
in:7 out:7 type:B dur:2 cpbdur:2 q:27.20 aq:21.40 tex:4483 mv:2274 misc:827 imb:5 pmb:262 smb:2037 d:- ref:0 ;
in:6 out:8 type:b dur:2 cpbdur:2 q:27.22 aq:22.41 tex:1996 mv:1547 misc:577 imb:2 pmb:171 smb:2131 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:27.25 aq:21.15 tex:1953 mv:1395 misc:596 imb:1 pmb:166 smb:2137 d:- ref:0 ;
in:12 out:10 type:P dur:2 cpbdur:2 q:26.26 aq:18.76 tex:53123 mv:3733 misc:1424 imb:49 pmb:622 smb:1633 d:- ref:0 ;
in:10 out:11 type:B dur:2 cpbdur:2 q:27.23 aq:21.83 tex:2751 mv:2090 misc:711 imb:4 pmb:210 smb:2090 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:27.22 aq:23.41 tex:2196 mv:1665 misc:635 imb:3 pmb:194 smb:2107 d:- ref:0 ;
in:14 out:13 type:P dur:2 cpbdur:2 q:26.26 aq:19.35 tex:43369 mv:2669 misc:1282 imb:19 pmb:553 smb:1732 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:26.26 aq:18.55 tex:2108 mv:1487 misc:637 imb:2 pmb:189 smb:2113 d:- ref:0 ;
in:18 out:15 type:P dur:2 cpbdur:2 q:26.26 aq:17.10 tex:276052 mv:12242 misc:402 imb:564 pmb:1715 smb:25 d:- ref:0 ;
in:16 out:16 type:B dur:2 cpbdur:2 q:26.26 aq:20.66 tex:11164 mv:2544 misc:1252 imb:12 pmb:430 smb:1862 d:- ref:0 ;
in:15 out:17 type:b dur:2 cpbdur:2 q:26.26 aq:18.61 tex:4028 mv:1714 misc:1210 imb:4 pmb:357 smb:1943 d:- ref:0 ;
in:17 out:18 type:b dur:2 cpbdur:2 q:26.26 aq:20.90 tex:8895 mv:1399 misc:562 imb:4 pmb:198 smb:2102 d:- ref:0 ;
in:20 out:19 type:P dur:2 cpbdur:2 q:26.26 aq:17.13 tex:39055 mv:3408 misc:2065 imb:55 pmb:793 smb:1456 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:26.26 aq:20.01 tex:1532 mv:1578 misc:586 imb:43 pmb:157 smb:2104 d:- ref:0 ;
in:23 out:21 type:P dur:2 cpbdur:2 q:26.26 aq:16.94 tex:45337 mv:3066 misc:1589 imb:29 pmb:583 smb:1692 d:- ref:0 ;
in:21 out:22 type:B dur:2 cpbdur:2 q:26.26 aq:23.71 tex:6803 mv:1579 misc:586 imb:2 pmb:225 smb:2077 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:26.26 aq:24.80 tex:7125 mv:1317 misc:606 imb:0 pmb:218 smb:2086 d:- ref:0 ;
in:27 out:24 type:P dur:2 cpbdur:2 q:26.26 aq:16.55 tex:50318 mv:3043 misc:1423 imb:26 pmb:576 smb:1702 d:- ref:0 ;
in:25 out:25 type:B dur:2 cpbdur:2 q:26.26 aq:21.06 tex:6111 mv:1893 misc:716 imb:2 pmb:264 smb:2038 d:- ref:0 ;
in:24 out:26 type:b dur:2 cpbdur:2 q:26.26 aq:25.72 tex:3276 mv:1395 misc:585 imb:2 pmb:181 smb:2121 d:- ref:0 ;
